code,stock,updatedAt,
101,700,2026-01-30T16:32:40Z,Picture
102,0,2026-01-30T16:32:40Z,
103,0,2026-01-30T16:32:40Z,Picture
104,2700,2026-01-30T16:32:40Z,Picture
105,0,2026-01-30T16:32:40Z,
106,2650,2026-01-30T16:32:40Z,Picture
107,0,2026-01-30T16:32:40Z,
108,0,2026-01-30T16:32:40Z,Picture
109,0,2026-01-30T16:32:40Z,Picture
110,0,2026-01-30T16:32:40Z,
111,425,2026-01-30T16:32:40Z,Picture
112,0,2026-01-30T16:32:40Z,
113,0,2026-01-30T16:32:40Z,
114,0,2026-01-30T16:32:40Z,Picture
115,1500,2026-01-30T16:32:40Z,Picture
116,5475,2026-01-30T16:32:40Z,Picture
117,2850,2026-01-30T16:32:40Z,Picture
118,0,2026-01-30T16:32:40Z,
119,0,2026-01-30T16:32:40Z,
120,50,2026-01-30T16:32:40Z,Picture
121,0,2026-01-30T16:32:40Z,
122,0,2026-01-30T16:32:40Z,
123,13900,2026-01-30T16:32:40Z,Picture
124,12800,2026-01-30T16:32:40Z,Picture
125,0,2026-01-30T16:32:40Z,
126,2700,2026-01-30T16:32:40Z,Picture
127,0,2026-01-30T16:32:40Z,
128,0,2026-01-30T16:32:40Z,
201,1600,2026-01-30T16:32:40Z,
202,9500,2026-01-30T16:32:40Z,
203,0,2026-01-30T16:32:40Z,
204,750,2026-01-30T16:32:40Z,Picture
205,0,2026-01-30T16:32:40Z,Picture
206,3825,2026-01-30T16:32:40Z,Picture
207,2700,2026-01-30T16:32:40Z,Picture
208,0,2026-01-30T16:32:40Z,
209,0,2026-01-30T16:32:40Z,Picture
210,0,2026-01-30T16:32:40Z,Picture
211,0,2026-01-30T16:32:40Z,Picture
212,0,2026-01-30T16:32:40Z,Picture
213,10200,2026-01-30T16:32:40Z,Picture
214,1900,2026-01-30T16:32:40Z,Picture
215,2175,2026-01-30T16:32:40Z,Picture
216,5725,2026-01-30T16:32:40Z,Picture
217,0,2026-01-30T16:32:40Z,
218,575,2026-01-30T16:32:40Z,Picture
219,1175,2026-01-30T16:32:40Z,Picture
220,0,2026-01-30T16:32:40Z,Picture
301,2650,2026-01-30T16:32:40Z,Picture
302,6300,2026-01-30T16:32:40Z,Picture
303,0,2026-01-30T16:32:40Z,
304,0,2026-01-30T16:32:40Z,
305,0,2026-01-30T16:32:40Z,Picture
306,1500,2026-01-30T16:32:40Z,Picture
307,0,2026-01-30T16:32:40Z,
308,0,2026-01-30T16:32:40Z,Picture
309,850,2026-01-30T16:32:40Z,Picture
310,900,2026-01-30T16:32:40Z,Picture
311,2400,2026-01-30T16:32:40Z,Picture
312,655,2026-01-30T16:32:40Z,Picture
313,4500,2026-01-30T16:32:40Z,Picture
314,0,2026-01-30T16:32:40Z,Picture
315,3775,2026-01-30T16:32:40Z,Picture
316,0,2026-01-30T16:32:40Z,
317,6250,2026-01-30T16:32:40Z,Picture
318,1000,2026-01-30T16:32:40Z,Picture
319,0,2026-01-30T16:32:40Z,Picture
320,0,2026-01-30T16:32:40Z,
321,0,2026-01-30T16:32:40Z,
322,0,2026-01-30T16:32:40Z,
323,0,2026-01-30T16:32:40Z,
324,0,2026-01-30T16:32:40Z,
325,5650,2026-01-30T16:32:40Z,Picture
326,3650,2026-01-30T16:32:40Z,Picture
327,0,2026-01-30T16:32:40Z,
328,1950,2026-01-30T16:32:40Z,Picture
329,3000,2026-01-30T16:32:40Z,Picture
330,1350,2026-01-30T16:32:40Z,Picture
331,0,2026-01-30T16:32:40Z,
332,0,2026-01-30T16:32:40Z,
333,0,2026-01-30T16:32:40Z,
334,5400,2026-01-30T16:32:40Z,Picture
335,3100,2026-01-30T16:32:40Z,Picture
336,4300,2026-01-30T16:32:40Z,Picture
337,0,2026-01-30T16:32:40Z,
338,0,2026-01-30T16:32:40Z,
339,0,2026-01-30T16:32:40Z,
340,0,2026-01-30T16:32:40Z,
341,0,2026-01-30T16:32:40Z,
342,0,2026-01-30T16:32:40Z,
343,3125,2026-01-30T16:32:40Z,Picture
344,3300,2026-01-30T16:32:40Z,Picture
345,4000,2026-01-30T16:32:40Z,Picture
346,3100,2026-01-30T16:32:40Z,Picture
347,0,2026-01-30T16:32:40Z,
348,0,2026-01-30T16:32:40Z,
349,2475,2026-01-30T16:32:40Z,Picture
350,2000,2026-01-30T16:32:40Z,Picture
351,1500,2026-01-30T16:32:40Z,Picture
352,,2026-01-30T16:32:40Z,Picture
353,1375,2026-01-30T16:32:40Z,Picture
354,0,2026-01-30T16:32:40Z,
355,3400,2026-01-30T16:32:40Z,Picture
356,2700,2026-01-30T16:32:40Z,Picture
357,2000,2026-01-30T16:32:40Z,Picture
358,0,2026-01-30T16:32:40Z,
359,0,2026-01-30T16:32:40Z,Picture
360,2000,2026-01-30T16:32:40Z,Picture
361,1850,2026-01-30T16:32:40Z,Picture
362,0,2026-01-30T16:32:40Z,
363,4200,2026-01-30T16:32:40Z,Picture
364,1550,2026-01-30T16:32:40Z,Picture
401,0,2026-01-30T16:32:40Z,
402,0,2026-01-30T16:32:40Z,
403,0,2026-01-30T16:32:40Z,
404,0,2026-01-30T16:32:40Z,
405,5000,2026-01-30T16:32:40Z,Picture
406,3625,2026-01-30T16:32:40Z,Picture
407,2200,2026-01-30T16:32:40Z,Picture
408,0,2026-01-30T16:32:40Z,
409,2600,2026-01-30T16:32:40Z,Picture
410,225,2026-01-30T16:32:40Z,Picture
411,0,2026-01-30T16:32:40Z,
412,0,2026-01-30T16:32:40Z,
413,2200,2026-01-30T16:32:40Z,Picture
414,0,2026-01-30T16:32:40Z,
415,0,2026-01-30T16:32:40Z,
416,3600,2026-01-30T16:32:40Z,Picture
417,6800,2026-01-30T16:32:40Z,Picture
418,0,2026-01-30T16:32:40Z,
419,0,2026-01-30T16:32:40Z,Picture
420,700,2026-01-30T16:32:40Z,Picture
421,1500,2026-01-30T16:32:40Z,Picture
422,300,2026-01-30T16:32:40Z,Picture
423,0,2026-01-30T16:32:40Z,
424,2475,2026-01-30T16:32:40Z,Picture
425,3350,2026-01-30T16:32:40Z,Picture
426,5000,2026-01-30T16:32:40Z,Picture
427,2450,2026-01-30T16:32:40Z,Picture
428,2625,2026-01-30T16:32:40Z,Picture
429,300,2026-01-30T16:32:40Z,Picture
430,0,2026-01-30T16:32:40Z,Picture
431,20000,2026-01-30T16:32:40Z,Picture
432,20000,2026-01-30T16:32:40Z,Picture
501,0,2026-01-30T16:32:40Z,Picture
502,5825,2026-01-30T16:32:40Z,Picture
503,0,2026-01-30T16:32:40Z,Picture
504,0,2026-01-30T16:32:40Z,
505,3500,2026-01-30T16:32:40Z,Picture
506,0,2026-01-30T16:32:40Z,
507,650,2026-01-30T16:32:40Z,Picture
508,1600,2026-01-30T16:32:40Z,Picture
509,0,2026-01-30T16:32:40Z,
510,0,2026-01-30T16:32:40Z,
511,1100,2026-01-30T16:32:40Z,Picture
512,475,2026-01-30T16:32:40Z,Picture
513,2600,2026-01-30T16:32:40Z,Picture
514,0,2026-01-30T16:32:40Z,Picture
515,0,2026-01-30T16:32:40Z,
516,3000,2026-01-30T16:32:40Z,Picture
517,0,2026-01-30T16:32:40Z,Picture
518,0,2026-01-30T16:32:40Z,Picture
519,8000,2026-01-30T16:32:40Z,Picture
520,3200,2026-01-30T16:32:40Z,Picture
521,7500,2026-01-30T16:32:40Z,
522,0,2026-01-30T16:32:40Z,
523,400,2026-01-30T16:32:40Z,
524,0,2026-01-30T16:32:40Z,
525,0,2026-01-30T16:32:40Z,
526,0,2026-01-30T16:32:40Z,Picture
527,2400,2026-01-30T16:32:40Z,Picture
528,0,2026-01-30T16:32:40Z,
529,0,2026-01-30T16:32:40Z,
530,1300,2026-01-30T16:32:40Z,Picture
531,3600,2026-01-30T16:32:40Z,Picture
532,6100,2026-01-30T16:32:40Z,
533,1500,2026-01-30T16:32:40Z,Picture
534,0,2026-01-30T16:32:40Z,
535,0,2026-01-30T16:32:40Z,
536,900,2026-01-30T16:32:40Z,Picture
537,0,2026-01-30T16:32:40Z,
538,1900,2026-01-30T16:32:40Z,Picture
539,0,2026-01-30T16:32:40Z,
540,2000,2026-01-30T16:32:40Z,Picture
541,2250,2026-01-30T16:32:40Z,Picture
542,0,2026-01-30T16:32:40Z,Picture
543,0,2026-01-30T16:32:40Z,
544,1400,2026-01-30T16:32:40Z,Picture
545,2250,2026-01-30T16:32:40Z,Picture
546,0,2026-01-30T16:32:40Z,
547,0,2026-01-30T16:32:40Z,
548,75,2026-01-30T16:32:40Z,Picture
549,1650,2026-01-30T16:32:40Z,Picture
550,1300,2026-01-30T16:32:40Z,Picture
551,1250,2026-01-30T16:32:40Z,Picture
552,0,2026-01-30T16:32:40Z,
553,2600,2026-01-30T16:32:40Z,Picture
554,1550,2026-01-30T16:32:40Z,Picture
555,0,2026-01-30T16:32:40Z,Picture
556,1800,2026-01-30T16:32:40Z,Picture
557,2550,2026-01-30T16:32:40Z,Picture
558,27825,2026-01-30T16:32:40Z,Picture
559,325,2026-01-30T16:32:40Z,Picture
560,2075,2026-01-30T16:32:40Z,Picture
561,0,2026-01-30T16:32:40Z,Picture
562,1725,2026-01-30T16:32:40Z,Picture
563,600,2026-01-30T16:32:40Z,Picture
564,0,2026-01-30T16:32:40Z,Picture
565,1325,2026-01-30T16:32:40Z,Picture
566,100,2026-01-30T16:32:40Z,Picture
567,0,2026-01-30T16:32:40Z,
568,0,2026-01-30T16:32:40Z,
569,1600,2026-01-30T16:32:40Z,Picture
570,1600,2026-01-30T16:32:40Z,Picture
571,3400,2026-01-30T16:32:40Z,
572,1500,2026-01-30T16:32:40Z,Picture
S01,0,2026-01-30T16:32:40Z,Picture
S02,550,2026-01-30T16:32:40Z,Picture
S03,9600,2026-01-30T16:32:40Z,Picture
S04,0,2026-01-30T16:32:40Z,
S05,2125,2026-01-30T16:32:40Z,Picture
S06,0,2026-01-30T16:32:40Z,
S07,6800,2026-01-30T16:32:40Z,Picture
S08,34200,2026-01-30T16:32:40Z,
S09,4950,2026-01-30T16:32:40Z,Picture
S10,8800,2026-01-30T16:32:40Z,Picture
